schema_name,table_name,index_name,type_desc,is_unique,is_primary_key,is_unique_constraint,key_ordinal,column_name,is_included_column
dbo,_lut_flds,PK__lut_flds,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_lut_tbls,IX__lut_tbls,NONCLUSTERED,1,0,1,1,TableName,0
dbo,_lut_tbls,PK__lut_tbls,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_map,IX__map,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_map,IX__map,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_map,IX__map,NONCLUSTERED,1,0,1,3,MapName,0
dbo,_map,IX__map,NONCLUSTERED,1,0,1,4,MapMode,0
dbo,_map,IX__map,NONCLUSTERED,1,0,1,5,MapType,0
dbo,_map,PK__map,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_perm,IX__perm,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_perm,IX__perm,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_perm,IX__perm,NONCLUSTERED,1,0,1,3,WIN_ID,0
dbo,_perm,PK__perm,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_proj,IX__proj,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_proj,IX__proj,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_proj,PK__proj,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_rpt,IX__rpt,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_rpt,IX__rpt,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_rpt,IX__rpt,NONCLUSTERED,1,0,1,3,ReportName,0
dbo,_rpt,PK__rpt,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_tableData,IX__tableData,NONCLUSTERED,1,0,1,1,TableID,0
dbo,_tableData,IX__tableData_DisplayName,NONCLUSTERED,1,0,1,1,DisplayName,0
dbo,_tableData,IX__tableData_TableName,NONCLUSTERED,1,0,1,1,TableName,0
dbo,_tableData,PK__tableData,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_tableOrder,IX__tableOrder,NONCLUSTERED,1,0,0,1,TableID,0
dbo,_tableOrder,PK__tableOrder,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_unit,IX__unit,NONCLUSTERED,1,0,1,1,Unit,0
dbo,_unit,PK__unit,CLUSTERED,1,1,0,1,GEO_ID,0
